1,1,Seorang tukang parkir mendapat uang sebesar Rp17000 dari 3 buah mobil dan 5 buah motor sedangkan dari 4 buah mobil dan 2 buah motor ia mendapat uang Rp18000 Jika terdapat 20 mobil dan 30 motor banyak uang parkir yang diperoleh adalah,"Rp110.000,00.","Rp135.000,00","Rp115.000,00","Rp110.000,00",,
1,1,Di dalam kandang terdapat kambing dan ayam sebanyak 13 ekor. Jika jumlah kaki hewan tersebut 32 ekor, maka jumlah kambing dan ayam masing-masing adalah,3 dan 10.,3 dan 10,4 dan 9,5 dan 8,,
1,1,Taman bunga Pak Rahman berbentuk  persegi panjang dengan ukuran panjang diagonalnya (3x + 15) meter dan (5x + 5) meter. Panjang diagonal taman bunga tersebut adalah,30 meter.,10 meter,30 meter,25 meter,,
1,1,Kebun sayur Pak Joko berbentuk persegi dengan panjang diagonal (4x +6)dan (2x + 16) meter. Panjang diagonal kebun sayur tersebut adalah,26 meter.,38 meter,32 meter,26 meter,,
1,1,Diketahui Deksa 44 tahun lebih tua dari Elisa Diketahui juga bahwa Elisa 33 tahun lebih tua dari Firda. Jika jumlah umur Deksa, Elisa, dan Frida adalah 5858 tahun, maka jumlah umur Deksa dan Firda adalah,39 tahun.,39 tahun,52 tahun,35 tahun,,
1,1,Resty mempunyai pita hias berwarna merah ungu dan kuning Jumlah panjang ketiga pita hias tersebut adalah 275275 cm. Panjang pita ungu 55 cm kurangnya dari panjang pita kuning. Panjang pita kuning 2020 cm lebihnya dari panjang pita merah. Jika pita kuning dipakai sepanjang 3535cm, maka panjang pita kuning tersisa adalah,65 cm.,50 cm,65 cm,75 cm,,
1,1,Pengamatan terhadap suatu  menunjukkan ciri-ciri berakar tunggang tidak berbunga sejati berbiji berdaun batang bercabang bakal biji terdapat pada strobilus betina dan serbuk sari terdapat pada strobilus jantan Tumbuhan tersebut dapat digolongkan ke dalam kelompok,Gymnospermae.,Thallophyta,Algae,Gymnospermae,,
1,1,Ular dan buaya termasuk ke dalam kelompok Reptilia tetapi ular berbeda dari buaya karena, ular tidak memiliki tulang dada.,lidahnya pipih dan tidak dapat dijulurkan,berkulit tebal dan bersisik,tidak memiliki tulang dada,,
1,1,Laut dalam merupakan tempat yang gelap sehingga tidak memungkinkan terjadi fotosintesis. Organisme yang hidup di daerah tersebut memperoleh energi dari,endapan bahan organik di permukaan.,endapan bahan organik di permukaan,energi dari air,tidak ada kehidupan di sana,,
1,1,Berikut ini yang dapat melepaskan karbondioksida ke udara adalah,tumbuhan.,hewan,organisme,tumbuhan,,
1,1,Menipisnya lapisan ozon akan mengakibatkan radiasi sinar ultra violet langsung mengenai bumi Hal tersebut akan berdampak pada,meningkatna risiko penyakit kanker.,meningkatnya intensitas cahaya,meningkatna risiko penyakit kanker,terbunuhnya virus dan bakteri,,
1,1,Suatu jenis polutan udara yang dapat berikatan dengan hemoglobin dalam darah sehingga mengurangi kemampuan darah mengikat oksigen adalah.,karbon monoksida.,karbon dioksida,klorofluorokarbon,karbon monoksida,,
1,1,Gas CO2 yang berlebihan di udara menimbulkan peristiwa,Global warming.,Lubang ozon,Hujan asam,Global warming,,
1,1,Jenis limbah yang dapat menyebabkan kebakaran karena menerima atau melepaskan oksigen disebut,limbah reaktif.,Ekuador,limbah eksplosif,limbah korosif,,
